,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
310,"POLYGON ((1436372 7462709, 1436372 7463209, 1436872 7463209, 1436872 7462709, 1436372 7462709))",0,0,0,0,8593.99425657309,11798.871446609888,11920.739893307844
311,"POLYGON ((1436372 7463209, 1436372 7463709, 1436872 7463709, 1436872 7463209, 1436372 7463209))",0,0,0,0,8103.427082697132,11431.225729994196,11535.700444514085
191,"POLYGON ((1435372 7463209, 1435372 7463709, 1435872 7463709, 1435872 7463209, 1435372 7463209))",0,0,0,0,8360.152388637887,12141.396026008239,12207.906838260888
251,"POLYGON ((1435872 7463209, 1435872 7463709, 1436372 7463709, 1436372 7463209, 1435872 7463209))",0,0,0,0,8217.593274366807,11781.052990935275,11866.030804721926
192,"POLYGON ((1435372 7463709, 1435372 7464209, 1435872 7464209, 1435872 7463709, 1435372 7463709))",4,0,2,1,7886.757328828235,11805.63643929559,11853.325884042768
312,"POLYGON ((1436372 7463709, 1436372 7464209, 1436872 7464209, 1436872 7463709, 1436372 7463709))",0,0,0,1,7614.087186732724,11073.954847593363,11159.78180285008
252,"POLYGON ((1435872 7463709, 1435872 7464209, 1436372 7464209, 1436372 7463709, 1435872 7463709))",0,0,0,0,7735.478810357938,11434.71748018639,11500.914407136115
313,"POLYGON ((1436372 7464209, 1436372 7464709, 1436872 7464709, 1436872 7464209, 1436372 7464209))",0,0,1,0,7126.227395315528,10728.09536884305,10793.936956870055
193,"POLYGON ((1435372 7464209, 1435372 7464709, 1435872 7464709, 1435872 7464209, 1435372 7464209))",0,0,0,0,7416.854748908324,11481.838093845385,11509.547326240925
253,"POLYGON ((1435872 7464209, 1435872 7464709, 1436372 7464709, 1436372 7464209, 1435872 7464209))",0,0,0,0,7255.78566580317,11100.104419695132,11146.271903283736
314,"POLYGON ((1436372 7464709, 1436372 7465209, 1436872 7465209, 1436872 7464709, 1436372 7464709))",0,0,0,0,6640.173950456691,10394.786410477462,10439.225075193395
194,"POLYGON ((1435372 7464709, 1435372 7465209, 1435872 7465209, 1435872 7464709, 1435372 7464709))",0,0,0,0,6951.152966881254,11171.041146183923,11177.567928518305
254,"POLYGON ((1435872 7464709, 1435872 7465209, 1436372 7465209, 1436372 7464709, 1435872 7464709))",0,0,0,0,6779.02786767047,10778.305637000214,10803.134845200895
315,"POLYGON ((1436372 7465209, 1436372 7465709, 1436872 7465709, 1436872 7465209, 1436372 7465209))",0,0,0,0,6156.354708340132,10075.27363379785,10096.819564209705
